student_PESEL,matura_id,subject,level,year,classroom,classroom_capacity,teacher_PESEL,subject_teacher,isRetaken,anulled
87053477282,34,Mathematics,basic,2021,Room_19,small,90391127449,English,0,NotAnulled
87053477282,35,Polish,basic,2021,Room_13,big,81165531253,Geography,0,NotAnulled
87053477282,36,English,basic,2021,Room_20,small,24935803837,Geography,0,NotAnulled
87053477282,42,Mathematics,extended,2021,Room_3,big,67239597077,Physics,0,NotAnulled
87053477282,41,Geography,extended,2021,Room_9,small,75425501819,Polish,0,NotAnulled
87053477282,39,Biology,extended,2021,Room_13,big,24935803837,Geography,0,NotAnulled
87053477282,40,Chemistry,extended,2021,Room_4,big,52894468092,Geography,0,NotAnulled
87053477282,44,English,extended,2021,Room_21,big,26437583152,Polish,0,NotAnulled
51939446617,34,Mathematics,basic,2021,Room_14,small,41025702129,English,0,NotAnulled
51939446617,35,Polish,basic,2021,Room_17,big,67239597077,Physics,0,NotAnulled
51939446617,36,English,basic,2021,Room_4,big,52894468092,Geography,0,NotAnulled
51939446617,43,Polish,extended,2021,Room_1,big,19150622889,History,0,NotAnulled
51939446617,38,History,extended,2021,Room_14,small,51937947921,Polish,0,NotAnulled
51939446617,39,Biology,extended,2021,Room_12,big,90391127449,English,0,NotAnulled
61714690760,34,Mathematics,basic,2021,Room_4,big,26437583152,Polish,0,NotAnulled
61714690760,35,Polish,basic,2021,Room_4,big,51973405392,Physics,0,NotAnulled
61714690760,36,English,basic,2021,Room_2,big,7627861561,Chemistry,0,NotAnulled
61714690760,38,History,extended,2021,Room_11,small,75425501819,Polish,0,NotAnulled
61714690760,39,Biology,extended,2021,Room_8,small,19150622889,History,0,NotAnulled
61714690760,42,Mathematics,extended,2021,Room_21,big,51973405392,Physical Education,1,Anulled
61714690760,44,English,extended,2021,Room_2,big,81359177700,Geography,0,NotAnulled
61714690760,41,Geography,extended,2021,Room_12,big,73128415155,Chemistry,0,NotAnulled
11736960320,34,Mathematics,basic,2021,Room_21,big,41025702129,English,0,NotAnulled
11736960320,35,Polish,basic,2021,Room_14,small,81359177700,Geography,0,NotAnulled
11736960320,36,English,basic,2021,Room_1,big,52894468092,Geography,0,NotAnulled
11736960320,41,Geography,extended,2021,Room_8,small,36952721923,Polish,0,NotAnulled
11736960320,37,Physics,extended,2021,Room_1,big,19150622889,History,0,NotAnulled
97341756482,34,Mathematics,basic,2021,Room_21,big,97238058536,Chemistry,0,NotAnulled
97341756482,35,Polish,basic,2021,Room_20,small,15187984005,Physics,0,NotAnulled
97341756482,36,English,basic,2021,Room_12,big,36952721923,Polish,0,NotAnulled
97341756482,41,Geography,extended,2021,Room_20,small,99010112345,Physical Education,0,NotAnulled
97341756482,40,Chemistry,extended,2021,Room_3,big,15187984005,Physics,0,NotAnulled
97341756482,38,History,extended,2021,Room_12,big,81165531253,Geography,0,NotAnulled
97341756482,39,Biology,extended,2021,Room_9,small,99010112345,Physical Education,0,NotAnulled
